pre_village,pre_district,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Bugarura,Kanungu,1471.4166666666667,47.166666666666664,1.3,46.083333333333336,280.7142857142857,,11.0,,1300.0,,,3.0,,48.5,45.0,2021
Buhumuriro,Rukungiri,0.0,50.75,1.1500000000000001,48.75,145.0,,,250.0,30.0,,,7.0,,148.66666666666666,,2021
Bujerengye,Kanungu,1461.0,49.625,1.209375,33.875,80.0,,,,23.0,,,,,33.6,47.2,2021
Bukiriro_1,Mitooma,1130.3333333333333,42.916666666666664,1.5833333333333333,37.5,132.5,,3.0,,,,,5.5,68.0,37.36363636363637,27.0,2021
Bukiriro_2,Mitooma,1140.25,47.166666666666664,0.9847916666666667,29.583333333333332,56.333333333333336,20.0,,,,,,4.0,,37.5,106.88888888888889,2021
Burambo,Rubanda,2020.109090909091,50.09090909090909,0.7599999999999999,71.9090909090909,139.33333333333334,5.0,,,,,,5.2,,5.0,,2021
Buranda,Kanungu,1276.0,44.53846153846154,1.75,46.92307692307692,415.625,,10.5,,1300.0,60.0,,7.5,,87.5,97.5,2021
Burera,Rukungiri,822.3333333333334,44.833333333333336,1.1708333333333334,32.083333333333336,98.75,,,,32.0,,,8.95,,149.0,100.0,2021
Bushure,Rubanda,1998.0,54.333333333333336,0.5833333333333334,71.66666666666667,109.33333333333333,7.25,,152.5,,,,27.714285714285715,,,,2021
Butoboore,Rubanda,2069.9727272727273,36.90909090909091,1.5772727272727274,71.36363636363636,184.1,,,140.0,,,,6.833333333333333,,7.0,,2021
Butusi,Rubanda,1540.7666666666667,59.666666666666664,1.7055555555555557,59.44444444444444,102.0,11.0,,,,,,3.75,,40.0,,2021
Byumba,Kanungu,1478.5,47.0,1.183,35.0,488.0,,10.0,,1300.0,60.0,,7.5,,104.0,37.5,2021
Ibarya,Kanungu,1325.5833333333333,48.166666666666664,0.8916666666666666,52.5,333.75,,11.0,,1300.0,,,10.0,,41.0,51.833333333333336,2021
Iterero,Rukungiri,1286.7,47.25,0.875,26.666666666666668,142.14285714285714,4.5,,,200.0,,,4.333333333333333,130.0,45.55555555555556,25.0,2021
Kababagi,Rukungiri,883.6083333333332,49.0,0.6458333333333334,35.0,123.5,,,,90.0,,,,,61.36363636363637,50.0,2021
Kabaranga,Rukungiri,0.0,47.90909090909091,1.05,91.0909090909091,110.18181818181819,,4.25,,78.57142857142857,,,6.85,,160.0,231.66666666666666,2021
Kabingo,Rukungiri,1245.9727272727273,51.45454545454545,0.6590909090909091,53.63636363636363,141.44444444444446,,2.5,,106.0,,,18.166666666666668,,75.0,80.0,2021
Kabirizi,Kanungu,1475.0,54.916666666666664,1.681,80.0,345.0,,2.0,,1300.0,,,3.0,,73.66666666666667,150.0,2021
Kacence,Rukungiri,878.3125,50.875,1.3017708333333333,44.166666666666664,145.15,6.0,7.5,70.0,58.2,,135.0,10.333333333333334,,140.52173913043478,178.7,2021
