pre_village,hhs,hot_pepper_tins_organic_pesticides,derris_tin_organic_pesticides,neem_kg_organic_pesticides,onions_bags_organic_pesticides,tephrosia_kgs_organic_pesticides,garlic_kgs_organic_pesticides,ginger_kgs_organic_pesticides,plastic_tanks_120_ltrs_liquid_manure,sacks_liquid_manure,sisal_rope_liquid_manure,filter_liquid_manure,mortar_&_pestle_liquid_manure,hoes_tools,spades_tools,pick_axes_tools,forked_spades_tools,forked_hoes_tools,pangas_tools,secateurs_tools,gloves_tools,wheelbarrows_tools,trowels_tools,watering_cans_tools,jerrican_tools,spray_pumps_tools,turplins_tools,Beans_seeds,Maize_seeds,Soyabean_seeds,Gnuts_seeds,Onions(Basin)_seeds,Rice_seeds,Field Peas_seeds,Sweet potatoes(Bags),Millet_seeds,Irish Potatoes_seeds,Cassava (bags),Mugavu tree seedlings,Onions (Kg)_seeds,Millet.1_seeds,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort,Agriculture Value (USD)
Bikungu,103.0,0.009389671,0.0,0.0,0.009389671,0.0,0.244131455,0.244131455,0.037558685,0.075117371,0.009389671,0.018779343,0.018779343,0.033802817,0.022535211,0.022535211,0.0,0.022535211,0.022535211,0.0,0.0,0.018779343,0.016901408,0.022535211,0.0,0.018779343,0.0,3.0,,3.0,3.0,,,,,,,,,,,566.6583333333333,47.0,0.5458333333333333,67.5,83.11111111111111,,,,,,,,44.25,82.5,48.0,2022.0,780.359555984556
Bisiika_A,75.0,0.018691589,0.0,0.0,0.018691589,0.0,0.355140187,0.355140187,0.037383178,0.037383178,0.018691589,0.037383178,0.037383178,0.056074766,0.037383178,0.018691589,0.0,0.018691589,0.037383178,0.0,0.0,0.037383178,0.0,0.037383178,0.0,0.037383178,0.0,3.0,3.0,3.0,3.0,,,,,,,,,,,1778.9750000000001,42.75,1.4083333333333332,23.333333333333332,75.33333333333333,,,,,,,10.777777777777779,,96.81818181818181,66.36363636363636,2022.0,784.3971797884842
Bisiika_B,70.0,0.02020202,0.0,0.0,0.0,0.0,0.363636364,0.363636364,0.04040404,0.04040404,0.0,0.04040404,0.04040404,0.060606061,0.04040404,0.02020202,0.0,0.02020202,0.04040404,0.0,0.0,0.04040404,0.0,0.04040404,0.0,0.04040404,0.0,3.0,3.0,3.0,3.0,,,,,,,,,,,1710.1499999999999,54.833333333333336,0.9229166666666667,40.0,85.7,,,,,,,10.0,,79.0,70.5,2022.0,729.3918918918919
Bubalala,55.0,0.025974026,0.0,0.0,0.025974026,0.0,0.363636364,0.363636364,0.103896104,0.207792208,0.025974026,0.051948052,0.051948052,0.051948052,0.051948052,0.025974026,0.0,0.025974026,0.051948052,0.0,0.0,0.051948052,0.025974026,0.025974026,0.0,0.051948052,0.051948052,3.0,3.0,3.0,,,,,,,,,,,,1024.8041666666666,53.375,1.3222222222222222,62.166666666666664,33.0,,,,456.9230769230769,144.0,,6.5,,3.0,,2022.0,528.9324324324325
Budongo,90.0,0.015873016,0.0,0.0,0.0,0.0,0.365079365,0.365079365,0.063492063,0.126984127,0.0,0.031746032,0.031746032,0.031746032,0.031746032,0.031746032,0.0,0.031746032,0.031746032,0.0,0.0,0.031746032,0.031746032,0.031746032,0.0,0.031746032,0.031746032,3.0,3.0,3.0,,,,,,,,,,,,1035.5249999999999,40.916666666666664,1.2828947368421053,40.291666666666664,24.5,,37.0,,425.75,192.5,,4.0,,12.75,45.0,2022.0,408.0601965601966
Bugandaro_Kacerere,104.0,0.013793103,0.0,0.0,0.013793103,0.0,0.35862069,0.35862069,0.055172414,0.110344828,0.013793103,0.027586207,0.027586207,0.068965517,0.068965517,0.04137931,0.0,0.068965517,0.04137931,0.0,0.0,0.027586207,0.068965517,0.068965517,0.0,0.027586207,0.0,3.0,3.0,,,,,,,,0.5,,,,,2238.4500000000003,51.0,0.5208333333333334,64.16666666666667,131.41666666666666,16.25,,,,,,4.6875,,16.5,22.0,2022.0,784.3596673596674
Bugandaro_Kagunga,36.0,0.04,0.0,0.0,0.04,0.0,0.36,0.36,0.08,0.32,0.04,0.08,0.08,0.04,0.04,0.04,0.0,0.04,0.04,0.0,0.0,0.04,0.04,0.04,0.0,0.08,0.0,3.0,3.0,,,,,,,,0.25,,,,,2037.7333333333333,52.333333333333336,1.2858333333333334,31.0,151.66666666666666,4.0,,,,,,4.458333333333333,,12.75,,2022.0,743.9020270270271
Bugara_Kagunga,37.0,0.037735849,0.0,0.0,0.037735849,0.0,0.339622642,0.339622642,0.150943396,0.301886792,0.037735849,0.075471698,0.075471698,0.037735849,0.037735849,0.037735849,0.0,0.037735849,0.037735849,0.0,0.0,0.075471698,0.037735849,0.037735849,0.0,0.075471698,0.0,3.0,3.0,,,,,,,,0.25,,,,,2034.925,49.916666666666664,1.60625,40.0,189.0,15.5,,155.4,,,,10.333333333333334,,20.0,,2022.0,559.060413354531
Bugonya,114.0,0.012578616,0.0,0.0,0.0,0.0,0.364779874,0.364779874,0.050314465,0.100628931,0.0,0.025157233,0.025157233,0.025157233,0.025157233,0.025157233,0.0,0.025157233,0.025157233,0.0,0.0,0.025157233,0.025157233,0.037735849,0.0,0.025157233,0.0,3.0,3.0,3.0,3.0,,,,,,,,,,,1063.8192307692307,37.19230769230769,1.7666666666666668,42.80769230769231,56.0,,11.5,,178.4,75.0,,6.0,,22.875,,2022.0,481.7851817334576
Buhamba,150.0,0.009389671,0.0,0.0,0.009389671,0.0,0.356807512,0.356807512,0.037558685,0.075117371,0.009389671,0.018779343,0.018779343,0.037558685,0.037558685,0.037558685,0.0,0.037558685,0.037558685,0.0,0.0,0.018779343,0.037558685,0.046948357,0.0,0.018779343,0.0,3.0,3.0,,3.0,,,,,,,,,,,1438.2416666666668,55.166666666666664,1.6510416666666667,28.333333333333332,118.75,,,,195.375,,,,,172.5,140.0,2022.0,707.0873873873875
