pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Alibaki,KAGADI,NYAMASA,1298.083,39.75,34.583,0.758,254.0,,,,333.333,,,,,10.0,,2020.0
Aswa,Kyenjojo,Mparo,1274.3454545454545,57.18181818181818,65.45454545454545,0.6463636363636364,209.66666666666666,13.0,,,177.0,,,11.5,,33.75,27.0,2022.0
BIKUNGU,MITOOMA,Iraramira,566.6583333333333,47.0,67.5,0.5458333333333333,83.11111111111111,,,,,,,,44.25,82.5,48.0,2022.0
BUREBANE_RWANJA_WEST,MITOOMA,Rwanja,1404.2166666666665,51.083333333333336,38.333333333333336,0.8541666666666666,63.0,,1.0,,200.0,,,1.5,,49.285714285714285,13.2,2022.0
BUYAAYO_A,MITOOMA,Buyaayo,1339.3416666666667,52.25,71.66666666666667,1.2841666666666667,86.33333333333333,,1.0,,,,,,,,,2022.0
BUYAAYO_B,MITOOMA,Buyaayo,0.0,46.0,70.83333333333333,0.6358333333333334,106.0,,,,,,,,,56.0,250.0,2022.0
BUYAAYO_C,MITOOMA,Buyaayo,1555.9666666666665,43.75,68.33333333333333,1.75,88.14285714285714,,5.0,,17.333333333333332,,,9.6,,68.0,62.857142857142854,2022.0
Batalika,KYENJOJO,MBURARA,957.333,46.333,40.833,3.55,319.375,19.767,9.0,,2962.857,,,,,126.429,67.0,2020.0
Batalika A,KYENJOJO,BATALIKA,1241.917,42.917,52.5,1.175,82.667,,2.25,,171.222,100.0,,5.0,,67.778,308.0,2020.0
Batalika B,KYENJOJO,BATALIKA,1209.083,46.417,56.25,1.654,169.375,2.875,5.25,,1682.0,,,5.0,,158.583,263.75,2020.0
Bibuye,Kyenjojo,Kawaruju,1331.625,43.166666666666664,49.166666666666664,1.2916666666666667,138.71428571428572,2.2,10.0,,178.14285714285714,,,7.166666666666667,,18.4,32.0,2022.0
Bigando,KYENJOJO,BIGANDU,1306.273,41.545,34.091,1.364,110.0,8.0,35.0,,1500.0,,,,,28.333,0.0,2020.0
Bigando B,KYENJOJO,BIGANDU,1257.0,36.167,38.333,1.787,249.6,5.5,,,346.0,,,,,29.7,15.0,2020.0
Bigandu,Rubanda,Mushanje,2285.211111111111,41.888888888888886,71.11111111111111,2.211388888888889,212.0,17.625,,,,,,,,,,2022.0
Biko-Bikongozo,Rukungiri,NYAK-BIKONGOZO,746.429,38.25,18.333,1.3,154.0,,,90.0,20.0,,,11.0,,155.714,40.0,2020.0
Biko-Birare,Rukungiri,NYAK-BIKONGOZO,885.0,47.083,65.0,0.583,83.6,,,10.0,50.0,,,1.0,,50.0,27.5,2020.0
Biko-Byongo,Rukungiri,NYAK-BIKONGOZO,0.0,40.538,43.846,0.802,64.0,,2.5,,34.667,,,10.278,,86.154,0.0,2020.0
Biko-Kabuhome,Rukungiri,NYAK-BIKONGOZO,1855.5,43.5,120.417,1.023,41.25,,,50.0,20.0,,,3.0,,41.0,50.0,2020.0
Biko-Katate,Rukungiri,NYAK-BIKONGOZO,0.0,48.0,185.0,1.057,51.4,,,,,,,9.0,,108.8,46.333,2020.0
Biko-Kayanja,Rukungiri,NYAK-BIKONGOZO,1497.083,48.667,36.25,0.771,40.375,,,,,,,1.375,,,,2020.0
Biko-Rugazi,Rukungiri,NYAK-BIKONGOZO,1934.667,41.25,98.333,1.058,100.0,,,,,,,3.0,,49.444,50.0,2020.0
Bikungu,MITOOMA,IRARAMIRA,566.75,47.0,67.5,0.621,70.889,,,,,,,,44.25,150.0,108.0,2020.0
Bisiika_A,Rukungiri,Bwanda,1778.9750000000001,42.75,23.333333333333332,1.4083333333333332,75.33333333333333,,,,,,,10.777777777777779,,96.81818181818181,66.36363636363636,2022.0
Bisiika_B,Rukungiri,Bwanda,1710.1499999999999,54.833333333333336,40.0,0.9229166666666667,85.7,,,,,,,10.0,,79.0,70.5,2022.0
Bitoma,KYENJOJO,KIJENGI,1196.917,39.75,57.5,1.171,104.167,,0.0,,756.625,,,6.5,,91.667,40.0,2020.0
Bomera,KYENJOJO,KISANSA,1160.923,37.667,75.833,0.638,200.0,1.5,4.0,,940.0,,,,,32.8,20.333,2020.0
Bubalala,Kaliro,Butambala,1024.8041666666666,53.375,62.166666666666664,1.3222222222222222,33.0,,,,456.9230769230769,144.0,,6.5,,3.0,,2022.0
Budongo,Kaliro,Butambala,1035.5249999999999,40.916666666666664,40.291666666666664,1.2828947368421053,24.5,,37.0,,425.75,192.5,,4.0,,12.75,45.0,2022.0
Bugada_Gadumire,Kaliro,Gadumire,982.9354838709677,42.58064516129032,50.25806451612903,0.8333333333333334,,,8.0,112.0,240.0,,,,6.0,21.666666666666668,30.0,2022.0
Bugahya,KAGADI,KISUURA,1122.583,37.083,34.583,2.103,218.5,,,,435.0,,,,,76.25,60.0,2020.0
Bugahya B,KAGADI,MABERENGA,1241.5,42.667,42.0,1.646,530.0,,50.0,,400.0,,,,,50.0,13.333,2020.0
Bugandaro_Kacerere,Rubanda,Mukitojo,2238.4500000000003,51.0,64.16666666666667,0.5208333333333334,131.41666666666666,16.25,,,,,,4.6875,,16.5,22.0,2022.0
Bugandaro_Kagunga,Rubanda,Bunagana,2037.7333333333333,52.333333333333336,31.0,1.2858333333333334,151.66666666666666,4.0,,,,,,4.458333333333333,,12.75,,2022.0
Bugara_Kagunga,Rubanda,Ruhungu,2034.925,49.916666666666664,40.0,1.60625,189.0,15.5,,155.4,,,,10.333333333333334,,20.0,,2022.0
Bugomora_Kishanje,Rubanda,Kishanje,2166.409090909091,47.63636363636363,81.81818181818181,0.7090909090909091,146.66666666666666,14.0,,,,,,4.611111111111111,,8.75,,2022.0
Bugonya,Kaliro,Gadumire,1063.8192307692307,37.19230769230769,42.80769230769231,1.7666666666666668,56.0,,11.5,,178.4,75.0,,6.0,,22.875,,2022.0
