pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield
Bugada_Gadumire,Kaliro,Gadumire,1056.2,60.0,30.0,0.0,,,,,,,,,,,
Wamusuta,Kaliro,Gadumire,1082.1,80.0,50.0,0.25,,,,,60.0,,,,,,
Iguliryo,Kaliro,Panyolo,1021.8,22.0,30.0,0.25,,,,,,,,,,,
Nabweyo,Kaliro,Gadumire,1057.0,22.0,60.0,0.0,,,,,40.0,,,,,,
Busiro_Cenral,Kaliro,Panyolo,1047.7,18.0,3.0,,,,,,,,,,,,
Iguliryo,Kaliro,Panyolo,1045.4,28.0,30.0,0.0,,,,,,,,,,,
Busiro,Kaliro,Panyolo,1031.7,20.0,40.0,,,,,,,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1042.4,70.0,60.0,0.5,,,,,140.0,,,,,,
Bususwa,Kaliro,Gadumire,1055.7,23.0,30.0,,,,,,160.0,,,,,,
Bugonya,Kaliro,Gadumire,1097.3,24.0,60.0,0.5,28.0,,,,14.0,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1050.3,58.0,3.0,0.0,,,,,,,,,,,
Bugada_Gadumire,Kaliro,Gadumire,1044.0,55.0,30.0,2.0,,,,,300.0,,,,,,
Iguliryo,Kaliro,Panyolo,1021.4,38.0,120.0,1.0,,,,,200.0,,,,,,
Nakisenyi,Kaliro,Panyolo,1038.7,36.0,120.0,,,,,,100.0,,,,,,
Wamusuta,Kaliro,Gadumire,1036.7,30.0,10.0,1.0,,,,,152.0,,,,,,
Wamusuta,Kaliro,Gadumire,1065.0,21.0,2.0,,,,,,100.0,,,,,,
Bususwa,Kaliro,Gadumire,1027.5,35.0,150.0,0.8,,,,,,,,,,,
Lake_Nakuwa,Kaliro,Panyolo,1038.8,36.0,2.0,,,,,,,,,,,,
Bunabiro,Kaliro,Gadumire,1056.2,40.0,200.0,0.8,,,,,200.0,,,,,,
Bugonya,Kaliro,Gadumire,1068.6,39.0,60.0,0.0,,,,,,,,,,,
Nyolo,Kaliro,Panyolo,1029.8,23.0,120.0,0.5,,,,,200.0,,,,,,
Bunabiro,Kaliro,Gadumire,1054.8,18.0,15.0,2.0,,,,,100.0,,,,,,
Bususwa,Kaliro,Gadumire,1019.3,78.0,30.0,1.6,,,,,,,,,,,
Nyolo,Kaliro,Panyolo,1037.9,23.0,30.0,,,,,,,,,,,,
Nyolo,Kaliro,Panyolo,1054.4,36.0,25.0,0.5,,,,,,,,,,,
Iguliryo,Kaliro,Panyolo,1021.4,59.0,60.0,0.5,,,,,,,,,,,
Lake_Nakuwa,Kaliro,Panyolo,1050.5,60.0,60.0,5.0,,,,,1000.0,,,,,,
Busege,Kaliro,Panyolo,1044.4,26.0,120.0,0.8,,,,,60.0,,,,,,
Gadumire_T/C,Kaliro,Gadumire,1037.6,50.0,90.0,0.5,,,,,800.0,,,,,,
Nabweyo,Kaliro,Gadumire,1045.4,25.0,60.0,,,,,,,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1046.8,32.0,40.0,,,,,,,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1035.6,25.0,12.0,2.0,,,,,120.0,,,,,,
Gadumire_T/C,Kaliro,Gadumire,1043.4,54.0,30.0,1.0,,,,,140.0,,,,,,
Busege,Kaliro,Panyolo,1029.8,30.0,120.0,,,,,,300.0,,,,,,
Busiro_Cenral,Kaliro,Panyolo,1058.7,53.0,25.0,1.5,,,,,200.0,,,,,,
Nyolo,Kaliro,Panyolo,1039.2,25.0,190.0,0.9,,,,,120.0,,,,,,
Kiranga_A,Kaliro,Bupyana,1033.3,53.0,30.0,0.5,,,,,,,,,,,
Butambala,Kaliro,Butambala,1031.6,56.0,20.0,0.0,,,,,,,,,,,
Lake_Nakuwa,Kaliro,Panyolo,1033.4,47.0,180.0,2.8,,,,,120.0,,,,,,
