pre_district,pre_village,pre_cluster,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield
Kanungu,Kengoma_Kihembe,Kihembe,1167.4,61.0,1.7,20.0,45.0,,,,30.0,,,,,,
Kanungu,Rukarara,Kihembe,1073.8,31.0,0.0,60.0,60.0,,,70.0,,,,,,0.0,
Kanungu,Kyozi,Kihembe,1170.3,28.0,0.25,10.0,,,,,,,,,,,
Kanungu,Rugarama,Kihembe,1153.0,96.0,0.25,5.0,55.0,,,,,,,,,,
Kanungu,Nyakasharara_Kihembe,Kihembe,1126.6,47.0,0.75,15.0,60.0,,,,,,,,,,
Kanungu,Kyozi,Kihembe,1139.1,61.0,1.0,10.0,120.0,,2.0,,,,,,,,0.0
Kanungu,Kanywansande,Kihembe,1097.7,63.0,0.25,20.0,90.0,,20.0,,,,,,,,20.0
Kanungu,Kengoma_Kihembe,Kihembe,1172.5,24.0,,20.0,65.0,,,,,,,,,,
Kanungu,Kengoma_Kihembe,Kihembe,1166.1,25.0,0.7,20.0,55.0,,2.7,,,,,,,,0.0
Kanungu,Kyozi,Kihembe,1151.1,37.0,1.4,35.0,45.0,,,,,,,,,,
Kanungu,Nyabirehe_Kihembe,Kihembe,1121.3,56.0,1.0,30.0,90.0,,,,,210.0,,,,,
Kanungu,Nyabirehe_Kihembe,Kihembe,1130.2,73.0,4.0,1.0,62.0,,,,,,,,,,0.0
Kanungu,Rugarama,Kihembe,1164.0,33.0,0.75,10.0,50.0,,,,25.0,,,,,,
Kanungu,Kyozi,Kihembe,1163.3,40.0,0.4,30.0,,,,,,,,,,,0.0
Kanungu,Kyozi,Kihembe,1134.9,34.0,0.0,30.0,,,,,,,,,,,
Kanungu,Rugarama,Kihembe,1194.2,29.0,0.35,40.0,,,,,,,,,,,
Kanungu,Nyabirehe_Kihembe,Kihembe,1143.6,57.0,0.5,30.0,80.0,,,,,,,,,,
Kanungu,Nyakasharara_Kihembe,Kihembe,1102.4,67.0,2.0,40.0,,,,,,,,,56.0,,15.0
Kanungu,Nyakasharara_Kihembe,Kihembe,1124.7,31.0,,20.0,100.0,,,,,,,,23.0,,50.0
Kanungu,Kyozi,Kihembe,1170.3,38.0,0.25,60.0,,,,,,,,,,,
Kanungu,Kengoma_Kihembe,Kihembe,1132.2,24.0,0.4,30.0,8.0,,,,,,,,,,
Kanungu,Nyakasharara_Kihembe,Kihembe,1124.6,70.0,0.5,10.0,80.0,,,,,,,,,,
Kanungu,Rukarara,Kihembe,1091.4,20.0,,60.0,,,,,,,,,,,
Kanungu,Nyabirehe_Kihembe,Kihembe,1081.3,26.0,0.7,30.0,60.0,,,,,100.0,,,,,0.0
Kanungu,Kanywansande,Kihembe,1095.5,34.0,0.0,15.0,,,,,,,,,,,50.0
Kanungu,Nyabirehe_Kihembe,Kihembe,1144.7,74.0,0.9,30.0,50.0,,,22.0,,,,,10.0,,
Kanungu,Kihembe_Central,Kihembe,1124.0,38.0,0.5,120.0,60.0,,,,,,,,,24.0,80.0
Kanungu,Kanywansande,Kihembe,1076.6,43.0,1.0,60.0,,,,,,92.0,,,,,6.0
Kanungu,Nyabirehe_Kihembe,Kihembe,1098.6,60.0,0.35,90.0,21.0,,,,,,,,,,
Kanungu,Nyabirehe_Kihembe,Kihembe,1096.1,64.0,0.5,30.0,70.0,,,,30.0,,,,,,0.0
Kanungu,Rugarama,Kihembe,1203.8,28.0,0.5,20.0,,,,,,,,,,,100.0
Kanungu,Kihembe_Central,Kihembe,1102.1,21.0,0.25,30.0,105.0,,,,90.0,,,,,,
Kanungu,Kyozi,Kihembe,1155.7,88.0,0.7,20.0,80.0,,,,,,,,,,
Kanungu,Nyabirehe_Kihembe,Kihembe,1095.8,32.0,0.9,90.0,62.0,,,,50.0,110.0,,,,,
Kanungu,Kengoma_Kihembe,Kihembe,1144.8,27.0,0.4,60.0,,,,,,,,,13.0,,
Kanungu,Kyozi,Kihembe,1165.0,64.0,2.0,10.0,100.0,,,,,,,,,,0.0
Kanungu,Rugarama,Kihembe,1182.4,82.0,1.8,20.0,80.0,,1.0,,100.0,,,,,,100.0
Kanungu,Kengoma_Kihembe,Kihembe,1153.5,39.0,1.0,15.0,95.0,,,,,,,,,,
Kanungu,Nyabirehe_Kihembe,Kihembe,1112.6,55.0,1.25,20.0,80.0,,,,,,,,40.0,,50.0
Kanungu,Kyozi,Kihembe,1153.3,24.0,0.4,5.0,27.0,,,,50.0,,,,,,
