pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield
Bisiika_A,Rukungiri,Bwanda,1778.9750000000001,42.75,1.4083333333333332,23.333333333333332,75.33333333333333,,,,,,,10.777777777777779,,96.81818181818181,66.36363636363636
Bisiika_B,Rukungiri,Bwanda,1710.1499999999999,54.833333333333336,0.9229166666666667,40.0,85.7,,,,,,,10.0,,79.0,70.5
Bunyinya,Rukungiri,Bwanda,1653.675,51.5,1.5458333333333334,30.833333333333332,145.0,,,,,,,20.0,,55.0,45.875
Bwehare,Rukungiri,Bwanda,1666.5,50.25,1.2933333333333332,34.583333333333336,92.27272727272727,,5.5,,,125.0,,3.590909090909091,100.0,53.833333333333336,47.5
Kikura,Rukungiri,Bwanda,1629.8166666666666,40.083333333333336,1.575,43.166666666666664,84.8,,,,53.0,,,12.75,85.0,110.0,134.27272727272728
Mushunga_Bwanda,Rukungiri,Bwanda,1631.2,61.333333333333336,0.975,27.599999999999998,45.25,,4.5,,,,,3.125,,86.66666666666667,58.4
Omwibare,Rukungiri,Bwanda,1680.0,49.583333333333336,0.9291666666666667,51.666666666666664,96.83333333333333,,3.75,,79.5,,,7.625,,69.58333333333333,61.0
Rumbugu_A,Rukungiri,Bwanda,1644.1583333333335,54.916666666666664,1.0374999999999999,68.33333333333333,137.5,,,,103.0,,,21.5,,87.5,51.25
Rumbugu_B,Rukungiri,Bwanda,1634.0249999999999,52.166666666666664,0.94,44.166666666666664,93.45454545454545,,3.2,,,105.0,,4.045454545454546,,53.333333333333336,130.0
Rusheeshe,Rukungiri,Bwanda,1671.4363636363635,45.90909090909091,0.7881818181818182,21.454545454545453,74.44444444444444,,2.0,,54.333333333333336,125.0,,4.2,,126.66666666666667,162.0
NYAR-BUTARE,Rukungiri,Nyarugando,0.0,45.25,0.6041666666666666,70.41666666666667,116.25,,,55.0,96.66666666666667,,,3.25,,40.142857142857146,107.83333333333333
NYAR-KEINA,Rukungiri,Nyarugando,1579.3,39.666666666666664,0.65620625,23.333333333333332,91.33333333333333,,,,,,,,,51.875,36.3
NYAR-KIINA,Rukungiri,Nyarugando,1369.0454545454545,42.72727272727273,0.7763636363636363,33.72727272727273,43.0,,,,,35.0,,,,51.25,23.333333333333332
NYAR-MARASHANIRO,Rukungiri,Nyarugando,1612.3083333333334,38.833333333333336,2.3833333333333333,51.25,136.25,,2.0,,55.0,,,3.5,,221.33333333333334,130.55555555555554
NYAR-NYAMITANGA,Rukungiri,Nyarugando,773.9250000000001,43.75,3.7458333333333336,35.0,246.0,6.0,4.0,,82.0,110.0,,7.0,123.33333333333333,110.0,37.5
NYAR-NYARUBARE,RUKUNGIRI,Nyarugando,0.0,51.666666666666664,0.8770833333333333,25.416666666666668,156.66666666666666,,,,107.5,,,,60.0,48.57142857142857,132.5
NYAR-NYARUTUNTU,Rukungiri,Nyarugando,727.1750000000001,44.416666666666664,0.35916666666666663,61.25,34.8,,,,33.0,,,5.0,,60.0,45.666666666666664
NYAR-RWENGOHA,Rukungiri,Nyarugando,1561.4333333333334,35.416666666666664,0.8958333333333334,32.083333333333336,116.25,,,,475.0,,,,,54.083333333333336,0.0
RWAN-BUGORO,Rukungiri,Bugoro,911.6833333333334,47.666666666666664,1.0866666666666667,31.166666666666668,65.0,,,,21.666666666666668,,,,,35.0,0.0
RWAN-MURAMBI,Rukungiri,Bugoro,691.775,52.75,0.8333333333333334,36.666666666666664,68.33333333333333,,,,,,,1.875,,69.0909090909091,92.0
RWAN-NYAKATOOKYE,Rukungiri,Bugoro,1804.5833333333333,50.666666666666664,1.53125,71.91666666666667,76.875,,,,30.0,,,3.0,,72.5,51.875
RWAN-OMUKAJAGIRO,Rukungiri,Bugoro,1764.7250000000001,46.166666666666664,0.7908125,37.916666666666664,131.2,,,,75.0,,15.0,,,84.22222222222223,75.0
RWAN-RUTOOMA,Rukungiri,Bugoro,1370.3416666666665,65.08333333333333,1.8116666666666665,65.0,36.0,,,,,75.0,,,,63.333333333333336,60.0
RWAN-RWONYO,Rukungiri,Bugoro,1693.625,45.75,1.25,25.583333333333332,172.5,,,,,175.0,,,,48.5,43.0
RWAN-SHOGASHOGA,Rukungiri,Bugoro,141.04166666666666,49.25,1.14625,26.416666666666668,63.8,,,,,,,3.5,,75.71428571428571,36.0
