pre_village,Agriculture Value (USD),pre_district
Rwemirongo,167.56756756756758,Rukungiri
Kato-Ndyabihanga,98.64864864864865,Rukungiri
Kato-Bugarama,166.8918918918919,Rukungiri
Kyanika B,206.75675675675674,Rukungiri
Kahoro,227.02702702702703,Rukungiri
Nyakatokye,188.64864864864865,Rukungiri
Kato-Ruhonwa,186.48648648648648,Rukungiri
Kamira,238.24324324324326,Rukungiri
Kafu-Nyakakizi,255.40540540540542,Rukungiri
Kagorogoro,245.8108108108108,Rukungiri
Kafu-Kagasha,118.91891891891892,Rukungiri
Kafu-Bugandaza,301.0810810810811,Rukungiri
Kafu-Kagorogoro,305.4054054054054,Rukungiri
Kato-Kashenyi,170.27027027027026,Rukungiri
Rugarama_Katonya,213.51351351351352,Rukungiri
Kafu-Rugazi,180.8108108108108,Rukungiri
Kafu-Rugazi,224.32432432432432,Rukungiri
Kafu-Bugandaza,81.08108108108108,Rukungiri
Rugarama_Katonya,216.75675675675674,Rukungiri
Kato-Mugurante,294.05405405405406,Rukungiri
Rugarama_Burama,291.8918918918919,Rukungiri
Nyakatokye,143.24324324324326,Rukungiri
Kyanika B,227.6216216216216,Rukungiri
Rwemirongo,274.86486486486484,Rukungiri
Nyakatokye,180.54054054054055,Rukungiri
Kato-Rwangura,305.6756756756757,Rukungiri
Nyakatokye,125.0,Rukungiri
Kato-Ndyabihanga,236.64864864864865,Rukungiri
Kagati,127.56756756756756,Rukungiri
Rukungiri,294.5945945945946,Rukungiri
Kato-Nyarubira,221.6216216216216,Rukungiri
Kikoni A,234.45945945945945,Rukungiri
Kafu-Rugandu,243.24324324324326,Rukungiri
Kato-Mukajagiro,193.24324324324326,Rukungiri
Kyanika B,196.6216216216216,Rukungiri
Kafu-Nyabishaki,194.59459459459458,Rukungiri
Kagati,257.02702702702703,Rukungiri
Kahoro,316.4864864864865,Rukungiri
Kafu-Bugomora,244.59459459459458,Rukungiri
Kafu-Nyamabare,331.35135135135135,Rukungiri
Kyanika A,160.8108108108108,Rukungiri
