pre_village,pre_parish,pre_district,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,pre_cluster
Katagata,KATAGATA,Mitooma,0.0,22.0,60.0,0.0,,,,,,,,,,,,
Katagata,KATAGATA,Mitooma,1645.9,64.0,120.0,1.8,,,,,,,,,,,,
Katagata,KATAGATA,Mitooma,0.0,49.0,60.0,1.33,0.0,,,,,,,,,,,
Rucururu,RWAMUJURA,Mitooma,0.0,76.0,120.0,0.25,,,,,,,,,,50.0,60.0,
Buhasha A2,RYENGYERERO,Mitooma,1781.0,48.0,20.0,0.0,,,,,,,,,,,,
Kigimbi A,RYENGYERERO,Mitooma,1539.7,50.0,10.0,0.0,,,,,,,,,,,,
Katangyemeko,KASHASHA,Mitooma,0.0,20.0,120.0,0.0,,,,,,,,,,,,
Nkongi,KASHASHA,Mitooma,1189.7,61.0,15.0,0.58,53.0,,1.0,,,,,,,,,
Katangyemeko,KASHASHA,Mitooma,1129.8,24.0,120.0,2.0,,,,,,,,,,,,
Rugando,RWAMUJURA,Mitooma,1564.7,51.0,30.0,0.25,,,,,,,,4.0,,20.0,0.0,
Nyarwanya A,KATAGATA,Mitooma,1567.1,55.0,60.0,0.75,,,,,,,,,,,,
Katagata,KATAGATA,Mitooma,1645.9,35.0,80.0,0.88,,,,,,,,,,,,
Kenshumba,KATAGATA,Mitooma,1618.4,35.0,60.0,0.25,,,,,,,,,,,,
Katagata,KATAGATA,Mitooma,1645.9,67.0,60.0,0.85,,,,,,,,,,,,
Rwengyerero B,RYENGYERERO,Mitooma,1601.3,99.0,18.0,0.75,,,,,,,,,,30.0,,
Rwengyerero C,RYENGYERERO,Mitooma,0.0,78.0,60.0,0.0,,,,,,,,,,,,
Nkongi,KASHASHA,Mitooma,0.0,55.0,20.0,1.85,45.0,,,,,,,,,,,
Rucururu,RWAMUJURA,Mitooma,0.0,58.0,45.0,2.75,,,,,,,,,,300.0,100.0,
Nyarushinya,KASHASHA,Mitooma,0.0,23.0,30.0,0.0,40.0,,,,,,,,,,,
Kigimbi A,RYENGYERERO,Mitooma,1557.7,60.0,10.0,0.975,,,,,,,,,,60.0,,
Buhasha A2,RYENGYERERO,Mitooma,1652.8,69.0,15.0,0.75,,,,,,,,,,,,
Kenshumba,KATAGATA,Mitooma,1618.2,43.0,30.0,0.0,,,,,,,,,,,,
Rwengyerero B,RYENGYERERO,Mitooma,1605.5,38.0,30.0,0.75,,,,,,,,,,20.0,,
Rurama_Kashasha,KASHASHA,Mitooma,1174.4,38.0,30.0,0.75,,,,,,,,,,0.0,,
Buhasha A2,RYENGYERERO,Mitooma,1557.4,50.0,60.0,0.25,,,,,,,,,,,,
Nyarwanya A,KATAGATA,Mitooma,1633.9,71.0,90.0,0.0,,,,,,,,,,,,
Nkongi,KASHASHA,Mitooma,1137.7,58.0,25.0,0.78,,,,,,35.0,,,,,0.0,
Katagata,KATAGATA,Mitooma,1531.2,38.0,80.0,0.0,,,,,,,,,,0.0,0.0,
Kihungye,KASHASHA,Mitooma,1161.0,67.0,40.0,2.475,,,,,,,,,,,,
Nyarushinya,KASHASHA,Mitooma,0.0,58.0,60.0,1.75,,,,,,,,,,,,
Buhasha B1,RYENGYERERO,Mitooma,1165.2,58.0,80.0,1.75,40.0,,,,,,,2.0,,,,
Buhasha B1,RYENGYERERO,Mitooma,1165.2,37.0,30.0,0.25,19.0,,1.0,,,,,0.5,,20.0,,
Rurama_Kashasha,KASHASHA,Mitooma,1166.3,40.0,30.0,0.0,,,,,,,,,,15.0,,
Nyarwanya A,KATAGATA,Mitooma,1640.4,73.0,80.0,0.0,,,,,,,,,,,,
Itara,KATAGATA,Mitooma,1502.0,34.0,20.0,0.49975,41.0,,,,,,,,,17.0,,
Rwengyerero B,RYENGYERERO,Mitooma,1606.3,37.0,15.0,0.25,,,,,,,,,,30.0,,
Katangyemeko,KASHASHA,Mitooma,1153.4,55.0,120.0,2.0,,,,,,,,,,,,
Rugando,RWAMUJURA,Mitooma,1165.2,42.0,60.0,0.75,75.0,,,,,,,3.0,,0.0,,
Nkongi,KASHASHA,Mitooma,0.0,35.0,20.0,1.88,,,,,,,,,,,,
Rwengyerero B,RYENGYERERO,Mitooma,1648.4,38.0,30.0,0.25,,,,,,,,,,15.0,,
Kigimbi B,RYENGYERERO,Mitooma,0.0,52.0,30.0,0.8,,,,,,,,,,,,
Rwengyerero B,RYENGYERERO,Mitooma,1642.8,55.0,30.0,0.25,,,,,,,,,,20.0,0.0,
Kashasha,KASHASHA,Mitooma,1159.8,75.0,30.0,2.0,,,,,,,,,,,100.0,
Kashasha,KASHASHA,Mitooma,1166.1,45.0,120.0,0.5,35.0,,3.0,,,,,2.0,,,,
Buhasha A2,RYENGYERERO,Mitooma,1610.7,60.0,90.0,1.0,,,,,,,,,,,,
Kibaya,KASHASHA,Mitooma,0.0,53.0,35.0,0.75,52.0,,2.0,,,,,,,0.0,,
Kigimbi B,RYENGYERERO,Mitooma,1557.9,38.0,30.0,0.0,,,,,,,,,,,,
Itara,KATAGATA,Mitooma,1559.2,25.0,20.0,0.0,,,,,,,,,,,,
Rugando,RWAMUJURA,Mitooma,1618.8,59.0,30.0,0.25,80.0,,,,,,,,3.0,30.0,1.0,
Buhasha A1,RYENGYERERO,Mitooma,1591.8,45.0,30.0,0.0,,,,,,,,,,30.0,40.0,
Kigimbi B,RYENGYERERO,Mitooma,0.0,30.0,20.0,0.63,,,,,,,,,,,,
Nyarwanya A,KATAGATA,Mitooma,1543.4,22.0,120.0,0.13,,,,,,,,,,10.0,,
Kigimbi A,RYENGYERERO,Mitooma,1556.7,70.0,40.0,0.5,25.0,,,,,,,,,40.0,,
Kaniampiiha,KASHASHA,Mitooma,1197.1,70.0,30.0,1.0,43.0,,,,,,,,,30.0,,
Mutanoga,RWAMUJURA,Mitooma,0.0,25.0,40.0,0.35,,,,,,,,,,24.0,,
Rwengyerero A,RYENGYERERO,Mitooma,1549.5,72.0,25.0,0.85,,,,,,,,,,50.0,,
Rurama_Kashasha,KASHASHA,Mitooma,1176.7,30.0,120.0,0.75,,,,,,,,,,35.0,80.0,
Nkongi,KASHASHA,Mitooma,0.0,26.0,20.0,0.38,4.0,,,,,,,,,,,
Itara,KATAGATA,Mitooma,1571.1,40.0,15.0,0.4975,,,,,,,,,,25.0,,
Nyarushinya,KASHASHA,Mitooma,0.0,48.0,40.0,0.75,30.0,,,,,,,,,,,
Katagata,KATAGATA,Mitooma,1550.5,63.0,45.0,1.96,105.0,,,,,,,,,,,
Buhasha A2,RYENGYERERO,Mitooma,1623.7,37.0,30.0,0.25,40.0,,,,,,,,,,,
Buhasha B2,RYENGYERERO,Mitooma,1603.2,30.0,120.0,0.3,,,,,,,,,,50.0,20.0,
