pre_village,pre_district,Pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield
Kazahi,Kanungu,BUJENGWE,1515.0,31,30.0,0.975,75.0,,,,,,,,,,
Buranda,Kanungu,RUTENDERE,1240.0,52,60.0,0.75,75.0,,,,,,,,,,
Nyaruharo,Kanungu,KIHANDA,1382.0,42,40.0,0.3,,,,,,,,,,20.0,20.0
Rutendere,Kanungu,RUTENDERE,1317.0,62,60.0,0.75,,,,,,,,,,,
Kataburaza,Kanungu,RUTENDERE,1339.0,52,4.0,3.75,,,,,,,,,,,
Nyakagezi,Kanungu,IBARYA,1408.0,40,60.0,0.625,,,,,,,,,,,
Kazahi,Kanungu,BUJENGWE,1504.0,43,30.0,1.975,35.0,,,,,,,,,30.0,35.0
Buranda,Kanungu,RUTENDERE,1302.0,27,60.0,1.975,20.0,,,,,,,,,10.0,
Kazahi,Kanungu,BUJENGWE,1503.0,45,30.0,2.0,,,,,,,,,,,
Nyakagezi,Kanungu,IBARYA,1400.0,94,60.0,1.5,50.0,,,,,,,,,,
Katembe,Kanungu,KIHANDA,1431.0,44,30.0,0.975,,,,,,130.0,,,,,
Kangyeyo,Kanungu,RUTENDERE,1325.0,78,20.0,0.75,,,,,,,,,,50.0,50.0
Rurama,Kanungu,KIHANDA,1475.0,30,20.0,0.89,,,,,,,,,,,
Nyamishamba,Kanungu,BUJENGWE,1497.0,62,30.0,1.75,96.0,,,28.0,,,,,,,
Kabirizi,Kanungu,BUJENGWE,1419.0,25,120.0,0.975,35.0,,,,,,,,,,
Rwendahi,Kanungu,IBARYA,1285.0,78,8.0,0.0,,,,,,,,,,20.0,20.0
Kyandago,Kanungu,RUTENDERE,1314.0,36,2.0,0.0,,,,,,,,,,48.0,
Kishanda,Kanungu,BUJENGWE,1370.0,31,30.0,0.25,,,,,,,,,,20.0,20.0
Rutonde,Kanungu,IBARYA,1505.0,37,10.0,0.25,,,,,,,,,,,
Kishegyere,Kanungu,BUJENGWE,1431.0,30,30.0,0.15,,,,,,,,,,,
Kataburaza,Kanungu,RUTENDERE,1392.0,68,30.0,1.8,,,,,,,,,,,
Rutonde,Kanungu,IBARYA,1382.0,63,30.0,0.0,,,,,23.0,,,,,10.0,166.0
Ibarya,Kanungu,IBARYA,1320.0,62,30.0,0.15,40.0,,,,,,,,,48.0,60.0
Kyandago,Kanungu,RUTENDERE,1404.0,50,30.0,1.9,40.0,,,,,,,,,48.0,60.0
