pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Bisiika_A,Rukungiri,Bwanda,1778.9750000000001,42.75,1.4083333333333332,23.333333333333332,75.33333333333333,,,,,,,10.777777777777779,,96.81818181818181,66.36363636363636,2022
Bisiika_B,Rukungiri,Bwanda,1710.1499999999999,54.833333333333336,0.9229166666666667,40.0,85.7,,,,,,,10.0,,79.0,70.5,2022
Bunyinya,Rukungiri,Bwanda,1653.675,51.5,1.5458333333333334,30.833333333333332,145.0,,,,,,,20.0,,55.0,45.875,2022
Bwehare,Rukungiri,Bwanda,1666.5,50.25,1.2933333333333332,34.583333333333336,92.27272727272727,,5.5,,,125.0,,3.590909090909091,100.0,53.833333333333336,47.5,2022
Kikura,Rukungiri,Bwanda,1629.8166666666666,40.083333333333336,1.575,43.166666666666664,84.8,,,,53.0,,,12.75,85.0,110.0,134.27272727272728,2022
Mushunga_Bwanda,Rukungiri,Bwanda,1631.2,61.333333333333336,0.975,27.599999999999998,45.25,,4.5,,,,,3.125,,86.66666666666667,58.4,2022
Omwibare,Rukungiri,Bwanda,1680.0,49.583333333333336,0.9291666666666667,51.666666666666664,96.83333333333333,,3.75,,79.5,,,7.625,,69.58333333333333,61.0,2022
Rumbugu_A,Rukungiri,Bwanda,1644.1583333333335,54.916666666666664,1.0374999999999999,68.33333333333333,137.5,,,,103.0,,,21.5,,87.5,51.25,2022
Rumbugu_B,Rukungiri,Bwanda,1634.0249999999999,52.166666666666664,0.94,44.166666666666664,93.45454545454545,,3.2,,,105.0,,4.045454545454546,,53.333333333333336,130.0,2022
Rusheeshe,Rukungiri,Bwanda,1671.4363636363635,45.90909090909091,0.7881818181818182,21.454545454545453,74.44444444444444,,2.0,,54.333333333333336,125.0,,4.2,,126.66666666666667,162.0,2022
NYAR-BUTARE,Rukungiri,Nyarugando,0.0,45.25,0.6041666666666666,70.41666666666667,116.25,,,55.0,96.66666666666667,,,3.25,,40.142857142857146,107.83333333333333,2022
NYAR-KEINA,Rukungiri,Nyarugando,1579.3,39.666666666666664,0.65620625,23.333333333333332,91.33333333333333,,,,,,,,,51.875,36.3,2022
NYAR-KIINA,Rukungiri,Nyarugando,1369.0454545454545,42.72727272727273,0.7763636363636363,33.72727272727273,43.0,,,,,35.0,,,,51.25,23.333333333333332,2022
NYAR-MARASHANIRO,Rukungiri,Nyarugando,1612.3083333333334,38.833333333333336,2.3833333333333333,51.25,136.25,,2.0,,55.0,,,3.5,,221.33333333333334,130.55555555555554,2022
NYAR-NYAMITANGA,Rukungiri,Nyarugando,773.9250000000001,43.75,3.7458333333333336,35.0,246.0,6.0,4.0,,82.0,110.0,,7.0,123.33333333333333,110.0,37.5,2022
NYAR-NYARUBARE,RUKUNGIRI,Nyarugando,0.0,51.666666666666664,0.8770833333333333,25.416666666666668,156.66666666666666,,,,107.5,,,,60.0,48.57142857142857,132.5,2022
NYAR-NYARUTUNTU,Rukungiri,Nyarugando,727.1750000000001,44.416666666666664,0.35916666666666663,61.25,34.8,,,,33.0,,,5.0,,60.0,45.666666666666664,2022
NYAR-RWENGOHA,Rukungiri,Nyarugando,1561.4333333333334,35.416666666666664,0.8958333333333334,32.083333333333336,116.25,,,,475.0,,,,,54.083333333333336,0.0,2022
RWAN-BUGORO,Rukungiri,Bugoro,911.6833333333334,47.666666666666664,1.0866666666666667,31.166666666666668,65.0,,,,21.666666666666668,,,,,35.0,0.0,2022
RWAN-MURAMBI,Rukungiri,Bugoro,691.775,52.75,0.8333333333333334,36.666666666666664,68.33333333333333,,,,,,,1.875,,69.0909090909091,92.0,2022
RWAN-NYAKATOOKYE,Rukungiri,Bugoro,1804.5833333333333,50.666666666666664,1.53125,71.91666666666667,76.875,,,,30.0,,,3.0,,72.5,51.875,2022
RWAN-OMUKAJAGIRO,Rukungiri,Bugoro,1764.7250000000001,46.166666666666664,0.7908125,37.916666666666664,131.2,,,,75.0,,15.0,,,84.22222222222223,75.0,2022
RWAN-RUTOOMA,Rukungiri,Bugoro,1370.3416666666665,65.08333333333333,1.8116666666666665,65.0,36.0,,,,,75.0,,,,63.333333333333336,60.0,2022
RWAN-RWONYO,Rukungiri,Bugoro,1693.625,45.75,1.25,25.583333333333332,172.5,,,,,175.0,,,,48.5,43.0,2022
RWAN-SHOGASHOGA,Rukungiri,Bugoro,141.04166666666666,49.25,1.14625,26.416666666666668,63.8,,,,,,,3.5,,75.71428571428571,36.0,2022
Bwegiragye,Rubirizi,Rugarama,1040.1033333333332,48.03333333333333,1.5379310344827586,33.43333333333333,167.63636363636363,5.0,2.1,,78.33333333333333,110.0,,3.0,,187.65384615384616,284.29411764705884,2022
Igomanda_I,Rubirizi,Kakari,1026.321739130435,46.26086956521739,1.108695652173913,25.0,108.25,8.0,3.9166666666666665,,252.5,,,,47.666666666666664,63.84615384615385,222.85714285714286,2022
Igomanda_II,Rubirizi,Kakari,1034.0125,46.875,1.28125,18.458333333333332,186.88888888888889,,2.5,,137.0,,,,100.0,148.625,49.666666666666664,2022
Kagando_Kyabakara,Rubirizi,Kyabakara,1029.5827586206897,50.172413793103445,0.7258620689655173,30.344827586206897,91.57142857142857,,3.0,,65.0,57.5,,,35.0,89.375,136.875,2022
Kagarama_Nyabubare,Rubirizi,Nyabubare,1083.5733333333333,46.7,1.1620689655172414,38.833333333333336,107.5,5.0,5.5,,65.0,,,,112.5,116.57142857142857,212.63636363636363,2022
Kakari_II_A,Rubirizi,Kakari,1029.496551724138,44.172413793103445,1.1788461538461539,33.89655172413793,173.8421052631579,17.0,,105.0,79.5,,,,100.0,142.6315789473684,149.76923076923077,2022
Kakari_II_B,Rubirizi,Kakari,1007.9347826086956,45.608695652173914,0.9836956521739131,25.130434782608695,130.6875,9.0,,,68.75,,,,100.0,40.90909090909091,62.0,2022
Kakari_I_A,Rubirizi,Kakari,1010.7041666666668,44.25,1.1434782608695653,15.041666666666666,234.11764705882354,16.4,7.0,,199.0,,,,60.0,223.25,218.57142857142858,2022
Kakari_I_B,Rubirizi,Kakari,1020.3238095238095,50.476190476190474,0.8761904761904761,23.714285714285715,133.73333333333332,,3.0,,103.33333333333333,,,,,102.52380952380952,235.84615384615384,2022
Kanjenje,Rubirizi,Nyandongo,1340.9583333333333,44.875,1.0717391304347825,67.08333333333333,95.3157894736842,6.0,3.0,,122.5,,,,,64.16666666666667,40.55555555555556,2022
Karembo,Rubirizi,Rugarama,1048.2124999999999,42.875,0.9291666666666667,31.041666666666668,123.8,11.5,4.0,,122.5,180.0,,5.0,108.16666666666667,64.6842105263158,165.34375,2022
