pre_village,hhs,total_population,beans_kgs_hh_seed,ground_nuts_kgs_hh_seed,maize_kgs_hh_seed,rice_kgs_hh_seed,onions_bags_hh_seed,soya_bean_kgs_hh_seed,field_peas_kgs_hh_seed,irish_potatoes_bags_hh_seed,millet_kgs_hh_seed,sweet_potatoes_bags_hh_seed,hot_pepper_tins_organic_pesticides,derris_tin_organic_pesticides,neem_kg_organic_pesticides,onions_bags_organic_pesticides,tephrosia_kgs_organic_pesticides,garlic_kgs_organic_pesticides,ginger_kgs_organic_pesticides,plastic_tanks_120_ltrs_liquid_manure,sacks_liquid_manure,sisal_rope_liquid_manure,filter_liquid_manure,mortar_&_pestle_liquid_manure,hoes_tools,spades_tools,pick_axes_tools,forked_spades_tools,forked_hoes_tools,pangas_tools,secateurs_tools,gloves_tools,wheelbarrows_tools,trowels_tools,watering_cans_tools,jerrican_tools,spray_pumps_tools,turplins_tools,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort,Agriculture Value (USD)
Bikungu,103,543,2.056338028,2.056338028,0,0,0,2.056338028,0,,0,0,0.009389671,0,0,0.009389671,0,0.244131455,0.244131455,0.037558685,0.075117371,0.009389671,0.018779343,0.018779343,0.033802817,0.022535211,0.022535211,0,0.022535211,0.022535211,0,0,0.018779343,0.016901408,0.022535211,0,0.018779343,0,566.6583333333333,47,0.5458333333333333,67.5,83.11111111111111,,,,,,,,44.25,82.5,48,2022,780.359556
Bisiika_A,75,361,3.028037383,3.028037383,3.028037383,0,0,0,0,,0,0,0.018691589,0,0,0.018691589,0,0.355140187,0.355140187,0.037383178,0.037383178,0.018691589,0.037383178,0.037383178,0.056074766,0.037383178,0.018691589,0,0.018691589,0.037383178,0,0,0.037383178,0,0.037383178,0,0.037383178,0,1778.9750000000001,42.75,1.4083333333333332,23.333333333333332,75.33333333333333,,,,,,,10.777777777777779,,96.81818181818181,66.36363636363636,2022,784.3971797884842
Bisiika_B,70,339,3.03030303,3.03030303,3.03030303,0,0,0,0,,0,0,0.02020202,0,0,0,0,0.363636364,0.363636364,0.04040404,0.04040404,0,0.04040404,0.04040404,0.060606061,0.04040404,0.02020202,0,0.02020202,0.04040404,0,0,0.04040404,0,0.04040404,0,0.04040404,0,1710.1499999999999,54.833333333333336,0.9229166666666667,40,85.7,,,,,,,10,,79,70.5,2022,729.3918918918919
Bubalala,55,259,2.571428571,2.571428571,2.571428571,0,0,2.571428571,0,0,0,0,0.025974026,0,0,0.025974026,0,0.363636364,0.363636364,0.103896104,0.207792208,0.025974026,0.051948052,0.051948052,0.051948052,0.051948052,0.025974026,0,0.025974026,0.051948052,0,0,0.051948052,0.025974026,0.025974026,0,0.051948052,0.051948052,1024.8041666666666,53.375,1.3222222222222222,62.166666666666664,33,,,,456.9230769230769,144,,6.5,,3,,2022,528.9324324324325
Budongo,90,424,2.523809524,2.523809524,2.523809524,0,0,2.523809524,0,0,0,0,0.015873016,0,0,0,0,0.365079365,0.365079365,0.063492063,0.126984127,0,0.031746032,0.031746032,0.031746032,0.031746032,0.031746032,0,0.031746032,0.031746032,0,0,0.031746032,0.031746032,0.031746032,0,0.031746032,0.031746032,1035.5249999999999,40.916666666666664,1.2828947368421053,40.291666666666664,24.5,,37,,425.75,192.5,,4,,12.75,45,2022,408.0601965601966
Bugandaro_Kacerere,104,605,3.020689655,0,3.020689655,0,0,0,0,0.006896552,0,0,0.013793103,0,0,0.013793103,0,0.35862069,0.35862069,0.055172414,0.110344828,0.013793103,0.027586207,0.027586207,0.068965517,0.068965517,0.04137931,0,0.068965517,0.04137931,0,0,0.027586207,0.068965517,0.068965517,0,0.027586207,0,2238.4500000000003,51,0.5208333333333334,64.16666666666667,131.41666666666666,16.25,,,,,,4.6875,,16.5,22,2022,784.3596673596674
Bugandaro_Kagunga,36,207,3.24,0,3.24,0,0,0,0,0.006153846,0,0,0.04,0,0,0.04,0,0.36,0.36,0.08,0.32,0.04,0.08,0.08,0.04,0.04,0.04,0,0.04,0.04,0,0,0.04,0.04,0.04,0,0.08,0,2037.7333333333333,52.333333333333336,1.2858333333333334,31,151.66666666666666,4,,,,,,4.458333333333333,,12.75,,2022,743.9020270270271
Bugara_Kagunga,37,230,3.056603774,0,3.056603774,0,0,0,0,0.005327414,0,0,0.037735849,0,0,0.037735849,0,0.339622642,0.339622642,0.150943396,0.301886792,0.037735849,0.075471698,0.075471698,0.037735849,0.037735849,0.037735849,0,0.037735849,0.037735849,0,0,0.075471698,0.037735849,0.037735849,0,0.075471698,0,2034.925,49.916666666666664,1.60625,40,189,15.5,,155.4,,,,10.333333333333334,,20,,2022,559.0604134
Bugonya,114,561,3.081761006,3.081761006,3.081761006,0,0,3.081761006,0,,0,0,0.012578616,0,0,0,0,0.364779874,0.364779874,0.050314465,0.100628931,0,0.025157233,0.025157233,0.025157233,0.025157233,0.025157233,0,0.025157233,0.025157233,0,0,0.025157233,0.025157233,0.037735849,0,0.025157233,0,1063.8192307692307,37.19230769230769,1.7666666666666668,42.80769230769231,56,,11.5,,178.4,75,,6,,22.875,,2022,481.7851817334576
Bugoro,118,691,3.058823529,3.058823529,0,0,0,0,3.058823529,0,0,0,0.011764706,0,0,0.011764706,0,0.352941176,0.352941176,0.047058824,0.023529412,0.011764706,0.023529412,0.023529412,0.070588235,0.047058824,0.047058824,0,0.047058824,0.047058824,0,0,0.047058824,0.035294118,0.047058824,0,0.023529412,0,911.6833333333334,47.666666666666664,1.0866666666666667,31.166666666666668,65,,,,21.666666666666668,,,,,35,0,2022,
Buhamba,150,740,3.004694836,3.004694836,3.004694836,0,0,0,0,,0,0,0.009389671,0,0,0.009389671,0,0.356807512,0.356807512,0.037558685,0.075117371,0.009389671,0.018779343,0.018779343,0.037558685,0.037558685,0.037558685,0,0.037558685,0.037558685,0,0,0.018779343,0.037558685,0.046948357,0,0.018779343,0,1438.2416666666668,55.166666666666664,1.6510416666666667,28.333333333333332,118.75,,,,195.375,,,,,172.5,140,2022,707.0873873873875
Buhanyura,153,767,3.037313433,0,3.037313433,0,0,0,0,,0,0,0.007462687,0,0,0.007462687,0,0.285447761,0.285447761,0.029850746,0.059701493,0.007462687,0.014925373,0.014925373,0.044776119,0.029850746,0.029850746,0,0.02238806,0.02238806,0,0,0.029850746,0.02238806,0.037313433,0,0.029850746,0,1960.9,51.09090909090909,1.2336363636363636,20.454545454545453,101.5,7.5,,,75,,,7.611111111111111,,16,,2022,654.8675675675676
