garlic_kgs_organic_pesticides,ginger_kgs_organic_pesticides,plastic_tanks_120_ltrs_liquid_manure,sacks_liquid_manure,hoes_tools,spades_tools,pick_axes_tools,forked_hoes_tools,pangas_tools,wheelbarrows_tools,trowels_tools,watering_cans_tools,spray_pumps_tools,Beans_seeds,Maize_seeds,Soyabean_seeds,Gnuts_seeds,Irish Potatoes_seeds,GPS-Altitude,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Cassava_total_yield,Maize_total_yield,Sweet_potatoes_total_yield,Food_banana_total_yield,Coffee_total_yield
0.356687898,0.356687898,0.050955414,0.101910828,0.038216561,0.038216561,0.025477707,0.025477707,0.038216561,0.025477707,0.025477707,0.025477707,0.025477707,3.0,3.0,3.0,0.0,0.0,1028.6911764705883,0.7177083333333334,77.6470588235294,55.0,5.4,431.3684210526316,0.0,40.8,190.0
0.365217391,0.365217391,0.069565217,0.139130435,0.104347826,0.104347826,0.12173913,0.12173913,0.104347826,0.034782609,0.0,0.104347826,0.139130435,3.0,3.0,3.0,3.0,0.0,1340.9583333333333,1.0717391304347823,67.08333333333333,95.3157894736842,3.0,122.5,0.0,64.16666666666667,40.55555555555556
0.5,0.5,0.04040404,0.04040404,0.224719101,0.187265918,0.0,0.0,0.04040404,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,1659.2083333333333,1.1875,25.0,81.25,0.0,0.0,0.0,37.5,0.0
0.5,0.5,0.037735849,0.075471698,0.120378332,0.120378332,0.120378332,0.120378332,0.120378332,0.075471698,0.0,0.113207547,0.075471698,4.0,3.0,0.0,4.0,0.0,1157.909090909091,1.0738636363636365,34.09090909090909,51.333333333333336,0.0,0.0,7.0,53.333333333333336,162.44444444444446
0.0,0.0,0.036697248,0.036697248,0.177865613,0.177865613,0.118577075,0.158102767,0.0,0.0,0.0,0.201834862,0.055045872,4.0,2.0,0.0,4.0,0.0,1346.5833333333333,2.7583333333333337,25.0,133.0,130.0,60.333333333333336,9.0,274.6666666666667,55.16666666666666
0.5,0.5,0.045454545,0.045454545,0.233918129,0.116959064,0.116959064,0.116959064,0.045454545,0.045454545,0.0,0.272727273,0.068181818,3.0,0.0,0.0,3.0,0.0,1428.090909090909,3.7136363636363634,125.45454545454544,131.66666666666666,10.0,120.0,14.0,161.77777777777777,151.25
0.0,0.0,0.047337278,0.01183432,0.342857143,0.285714286,0.142857143,0.0,0.0,0.0,0.0,0.171428571,0.035502959,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.076923077,0.076923077,0.194741967,0.194741967,0.0,0.126582279,0.0,0.038461538,0.0,0.303797468,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.1875,33.333333333333336,44.5,0.0,0.0,7.0,56.0,0.0
0.357142857,0.357142857,0.028571429,0.028571429,0.057142857,0.042857143,0.028571429,0.028571429,0.042857143,0.028571429,0.0,0.042857143,0.028571429,3.0,3.0,3.0,3.0,0.0,1671.4363636363637,0.7881818181818182,21.454545454545453,74.44444444444444,2.0,54.333333333333336,4.2,126.66666666666669,162.0
0.0,0.0,0.025477707,0.025477707,0.177865613,0.177865613,0.118577075,0.158102767,0.0,0.0,0.0,0.203821656,0.038216561,4.0,2.0,0.0,4.0,0.0,1364.6666666666667,1.77825,33.75,52.57142857142857,0.0,60.0,0.0,2.75,0.0
0.361702128,0.361702128,0.042553191,0.170212766,0.085106383,0.042553191,0.042553191,0.042553191,0.042553191,0.042553191,0.0,0.042553191,0.042553191,3.0,3.0,3.0,3.0,0.0,1048.2125,0.9291666666666668,31.041666666666668,123.8,4.0,122.5,5.0,64.6842105263158,165.34375
0.353211009,0.353211009,0.036697248,0.036697248,0.109039782,0.109039782,0.109039782,0.109039782,0.109039782,0.036697248,0.0,0.110091743,0.036697248,3.0,2.0,0.0,3.0,0.0,1438.3636363636365,0.5681818181818182,53.63636363636363,56.85714285714285,2.0,75.0,3.375,29.5,9.0
0.368421053,0.368421053,0.070175439,0.140350877,0.035087719,0.035087719,0.035087719,0.035087719,0.035087719,0.035087719,0.035087719,0.035087719,0.035087719,3.0,3.0,0.0,0.0,0.0,2022.0333333333333,1.6208333333333331,37.75,240.41666666666663,0.0,0.0,4.363663261689577,30.0,0.0
0.36875,0.36875,0.05,0.05,0.091671846,0.091671846,0.091671846,0.091671846,0.091671846,0.05,0.1,0.1,0.05,4.0,4.0,0.0,4.0,0.0,1475.0,1.681,80.0,345.0,2.0,1300.0,3.0,73.66666666666667,150.0
0.25,0.25,0.055555556,0.055555556,0.172711572,0.172711572,0.172711572,0.172711572,0.0,0.0,0.0,0.25,0.055555556,4.0,3.0,0.0,3.0,0.0,1461.0,1.209375,33.875,80.0,0.0,23.0,0.0,33.6,47.2
0.35483871,0.35483871,0.064516129,0.129032258,0.048387097,0.032258065,0.032258065,0.032258065,0.032258065,0.032258065,0.024193548,0.032258065,0.032258065,3.0,0.0,3.0,3.0,0.0,1270.0083333333334,1.5416666666666667,37.66666666666666,84.75,0.0,0.0,0.0,48.25,67.57142857142857
0.362573099,0.362573099,0.070175439,0.093567251,0.070175439,0.070175439,0.035087719,0.070175439,0.035087719,0.023391813,0.070175439,0.070175439,0.023391813,3.0,3.0,0.0,0.0,0.0,2120.4500000000003,1.09625,33.25,165.0,0.0,0.0,19.0,12.833333333333334,0.0
0.0,0.0,0.056872038,0.227488152,0.101376182,0.101376182,0.101376182,0.101376182,0.101376182,0.018957346,0.0,0.101376182,0.0,3.0,3.0,0.0,0.0,0.0,1989.69,0.98,42.5,90.71428571428572,0.0,0.0,6.9,12.5,0.0
0.5,0.5,0.070175439,0.070175439,0.224719101,0.187265918,0.0,0.0,0.070175439,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.8250000000000001,14.583333333333334,75.4,0.0,60.0,9.0,81.42857142857143,75.0
0.35862069,0.35862069,0.055172414,0.110344828,0.068965517,0.068965517,0.04137931,0.068965517,0.04137931,0.027586207,0.068965517,0.068965517,0.027586207,3.0,3.0,0.0,0.0,0.0,2238.4500000000003,0.5208333333333334,64.16666666666667,131.41666666666666,0.0,0.0,4.6875,16.5,22.0
0.375,0.375,0.0,0.041666667,0.097783572,0.097783572,0.097783572,0.097783572,0.097783572,0.041666667,0.0,0.097783572,0.0,3.0,0.0,3.0,3.0,0.0,1775.45,0.6875,29.166666666666668,146.66666666666666,0.0,0.0,0.0,41.875,50.0
0.5,0.5,0.019230769,0.038461538,0.168954593,0.168954593,0.168954593,0.168954593,0.105596621,0.038461538,0.0,0.173076923,0.038461538,4.0,0.0,3.0,3.0,0.0,1151.875,1.75,83.125,46.75,2.6666666666666665,0.0,2.75,68.75,90.0
0.355140187,0.355140187,0.024922118,0.049844237,0.068535826,0.068535826,0.068535826,0.049844237,0.049844237,0.012461059,0.037383178,0.068535826,0.012461059,3.0,3.0,0.0,3.0,0.0,1461.8666666666668,0.5750000000000001,90.0,191.0,20.0,250.0,0.0,60.0,82.4
0.357142857,0.357142857,0.035714286,0.071428571,0.035714286,0.035714286,0.035714286,0.035714286,0.035714286,0.017857143,0.035714286,0.044642857,0.017857143,3.0,3.0,0.0,3.0,0.0,1429.4299999999998,1.48525,36.2,71.9,4.75,41.0,4.666666666666667,144.4,154.0
0.356060606,0.356060606,0.03030303,0.060606061,0.068181818,0.068181818,0.068181818,0.053030303,0.053030303,0.015151515,0.037878788,0.068181818,0.015151515,3.0,3.0,0.0,3.0,0.0,1299.5,1.5375,17.166666666666668,46.57142857142857,114.5,202.0,3.75,47.833333333333336,116.5
0.5,0.5,0.0125,0.025,0.120378332,0.120378332,0.120378332,0.120378332,0.120378332,0.025,0.0,0.125,0.025,4.0,3.0,0.0,4.0,0.0,581.25,0.6333333333333333,39.16666666666666,110.5,3.0,0.0,10.0,19.875,1.7142857142857142
0.103321033,0.103321033,0.029520295,0.05904059,0.014760148,0.009594096,0.009594096,0.009594096,0.009594096,0.014760148,0.007380074,0.009594096,0.014760148,3.0,0.0,3.0,3.0,0.0,579.4,1.3208333333333333,63.75,81.36363636363636,3.25,0.0,6.454545454545454,44.5,77.72727272727273
0.5,0.5,0.020408163,0.040816327,0.120378332,0.120378332,0.120378332,0.120378332,0.120378332,0.040816327,0.0,0.12244898,0.040816327,4.0,3.0,0.0,4.0,0.0,562.0833333333334,0.5023333333333334,77.5,76.25,0.0,0.0,3.25,37.142857142857146,81.11111111111111
0.350515464,0.350515464,0.082474227,0.164948454,0.082474227,0.041237113,0.041237113,0.020618557,0.041237113,0.082474227,0.020618557,0.06185567,0.082474227,3.0,3.0,3.0,3.0,0.0,1028.246875,1.330769230769231,82.28125,87.0,24.83333333333333,250.47619047619048,4.363663261689577,40.833333333333336,0.0
0.0,0.0,0.051948052,0.051948052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,0.0,1.05,91.0909090909091,110.1818181818182,4.25,78.57142857142857,6.85,160.0,231.66666666666663
0.356435644,0.356435644,0.03960396,0.03960396,0.059405941,0.03960396,0.01980198,0.01980198,0.03960396,0.03960396,0.0,0.03960396,0.03960396,3.0,3.0,3.0,3.0,0.0,1653.675,1.5458333333333334,30.83333333333333,145.0,0.0,0.0,4.363663261689577,55.0,45.875
0.377659574,0.377659574,0.021276596,0.021276596,0.09388678,0.09388678,0.09388678,0.09388678,0.09388678,0.021276596,0.095744681,0.095744681,0.021276596,4.0,4.0,0.0,4.0,0.0,1361.7857142857142,1.8360714285714288,44.642857142857146,424.22222222222223,0.0,1300.0,10.0,90.0,66.0
