pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Alibaki,KAGADI,NYAMASA,1298.083,39.75,34.583,0.758,254.0,,,,333.333,,,,,10.0,,2020
Batalika,KYENJOJO,MBURARA,957.333,46.333,40.833,3.55,319.375,19.767,9.0,,2962.857,,,,,126.429,67.0,2020
Batalika A,KYENJOJO,BATALIKA,1241.917,42.917,52.5,1.175,82.667,,2.25,,171.222,100.0,,5.0,,67.778,308.0,2020
Batalika B,KYENJOJO,BATALIKA,1209.083,46.417,56.25,1.654,169.375,2.875,5.25,,1682.0,,,5.0,,158.583,263.75,2020
Bigando,KYENJOJO,BIGANDU,1306.273,41.545,34.091,1.364,110.0,8.0,35.0,,1500.0,,,,,28.333,0.0,2020
Bigando B,KYENJOJO,BIGANDU,1257.0,36.167,38.333,1.787,249.6,5.5,,,346.0,,,,,29.7,15.0,2020
Biko-Bikongozo,Rukungiri,NYAK-BIKONGOZO,746.429,38.25,18.333,1.3,154.0,,,90.0,20.0,,,11.0,,155.714,40.0,2020
Biko-Birare,Rukungiri,NYAK-BIKONGOZO,885.0,47.083,65.0,0.583,83.6,,,10.0,50.0,,,1.0,,50.0,27.5,2020
Biko-Byongo,Rukungiri,NYAK-BIKONGOZO,0.0,40.538,43.846,0.802,64.0,,2.5,,34.667,,,10.278,,86.154,0.0,2020
Biko-Kabuhome,Rukungiri,NYAK-BIKONGOZO,1855.5,43.5,120.417,1.023,41.25,,,50.0,20.0,,,3.0,,41.0,50.0,2020
Biko-Katate,Rukungiri,NYAK-BIKONGOZO,0.0,48.0,185.0,1.057,51.4,,,,,,,9.0,,108.8,46.333,2020
Biko-Kayanja,Rukungiri,NYAK-BIKONGOZO,1497.083,48.667,36.25,0.771,40.375,,,,,,,1.375,,,,2020
Biko-Rugazi,Rukungiri,NYAK-BIKONGOZO,1934.667,41.25,98.333,1.058,100.0,,,,,,,3.0,,49.444,50.0,2020
Bikungu,MITOOMA,IRARAMIRA,566.75,47.0,67.5,0.621,70.889,,,,,,,,44.25,150.0,108.0,2020
Bitoma,KYENJOJO,KIJENGI,1196.917,39.75,57.5,1.171,104.167,,0.0,,756.625,,,6.5,,91.667,40.0,2020
Bomera,KYENJOJO,KISANSA,1160.923,37.667,75.833,0.638,200.0,1.5,4.0,,940.0,,,,,32.8,20.333,2020
Bugahya,KAGADI,KISUURA,1122.583,37.083,34.583,2.103,218.5,,,,435.0,,,,,76.25,60.0,2020
